transaction_id,account_id,customer_id,transaction_timestamp,transaction_hour,is_weekend,amount,currency,transaction_type,channel,status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_country,device_id,device_type,is_new_device,ip_address,auth_method,is_card_present,is_foreign_transaction,distance_from_home_km,time_since_prev_txn_mins,txn_count_last_24h,txn_count_last_7d,amount_to_account_avg_ratio,balance_after_txn,has_invalid_transaction_timestamp,is_orphan_account,is_orphan_customer,is_quarantined
TXN_0000796,ACC_000096,CUST_00069,2026-08-13 06:18:18,6,False,25.0,INR,,INTERNET_BANKING,SUCCESS,MER_8691,NEFT Beneficiary,FUND_TRANSFER,Kolkata,IN,DEV_426304,,True,49.57.192.223,BIOMETRIC,False,False,0.1,,0,0,,32219.78,False,False,False,False
TXN_0000974,ACC_000141,CUST_00096,2026-09-17 10:04:21,10,False,22574.7,INR,PURCHASE,POS,SUCCESS,MER_6761,Luxury Goods Direct,JEWELLERY,Mysuru,IN,DEV_789922,POS_TERMINAL,False,,PIN,True,False,692.1,177.0,1,1,7.321,-2882.84,False,False,False,False
TXN_0000795,ACC_000122,CUST_00086,2026-08-13 03:03:52,3,False,5166.58,INR,PAYMENT,INTERNET_BANKING,,MER_9568,UPI P2P Transfer,P2P_TRANSFER,Kochi,IN,DEV_308665,ANDROID,False,49.45.37.237,BIOMETRIC,False,False,12.6,405.0,1,1,0.373,-5934.46,False,False,False,False
TXN_0000695,ACC_000035,CUST_00024,2026-07-29 18:07:00,18,False,14590.56,INR,,MOBILE_APP,SUCCESS,MER_2854,MakeMyTrip,TRAVEL,Delhi,IN,DEV_736450,IOS,True,49.45.191.121,OTP,False,False,7.1,125.0,1,1,6.612,10841.67,False,False,False,False
TXN_0000588,ACC_000066,CUST_00045,2026-07-06 06:12:38,6,False,736.65,INR,TRANSFER,MOBILE_APP,FAILED,MER_6813,Jio Recharge,UTILITIES,Jaipur,IN,DEV_583232,WINDOWS_DESKTOP,True,49.33.86.11,PIN,False,False,14.6,131841.52,0,0,0.211,50355.22,False,False,False,False
TXN_0000011,ACC_000072,CUST_00050,2026-03-24 15:26:16,15,False,990.18,INR,TRANSFER,INTERNET_BANKING,SUCCESS,MER_6813,Jio Recharge,UTILITIES,Kolkata,IN,DEV_527288,ANDROID,True,49.43.245.119,OTP,False,False,7.4,,0,0,,45828.8,False,False,False,False
TXN_0000849,ACC_000171,CUST_00116,2026-08-22 14:29:11,14,True,22953.62,INR,PURCHASE,POS,FAILED,MER_6761,Luxury Goods Direct,JEWELLERY,Chennai,IN,DEV_185321,POS_TERMINAL,False,,,True,False,1299.8,72.0,1,1,0.921,67451.66,False,False,False,False
TXN_0000714,ACC_000034,CUST_00023,2026-08-02 08:46:42,8,True,7710.13,INR,TRANSFER,MOBILE_APP,SUCCESS,MER_9568,UPI P2P Transfer,P2P_TRANSFER,Chennai,IN,DEV_811634,WINDOWS_DESKTOP,False,49.58.100.33,OTP,False,False,10.8,312.0,3,3,1.996,20048.99,False,False,False,False
TXN_0000515,ACC_000074,CUST_00052,2026-06-25 18:28:14,18,False,1615.32,INR,,POS,SUCCESS,MER_9194,PVR Cinemas,ENTERTAINMENT,Jaipur,IN,DEV_831400,POS_TERMINAL,False,,PIN,True,False,0.9,5650.17,0,1,0.715,15706.57,False,False,False,False
TXN_0000299,ACC_000155,CUST_00103,2026-05-15 11:07:30,11,False,17744.43,INR,,POS,REVERSED,MER_5005,Tanishq Jewellers,JEWELLERY,,IN,DEV_889762,POS_TERMINAL,True,,NONE,True,False,507.3,31.55,1,1,0.073,18061.73,False,False,False,False
TXN_0000208,ACC_000161,CUST_00108,2026-04-30 23:59:03,23,False,340.78,INR,PURCHASE,POS,SUCCESS,MER_8430,Ola Cabs,TRANSPORT,Chandigarh,IN,DEV_885100,POS_TERMINAL,False,,PIN,True,False,11.5,16907.87,0,0,0.1,1855.37,False,False,False,False
TXN_0000062,ACC_000074,CUST_00052,2026-03-31 18:35:48,18,False,2583.74,INR,PURCHASE,POS,SUCCESS,MER_5366,FreshMart Supermarket,GROCERY,Jaipur,IN,DEV_952118,POS_TERMINAL,True,,SIGNATURE,True,False,367.2,32.0,2,2,1.385,22296.03,False,False,False,False
TXN_0000198,ACC_000063,CUST_00043,2026-04-29 10:43:49,10,False,26790.36,INR,TRANSFER,INTERNET_BANKING,SUCCESS,MER_8691,NEFT Beneficiary,FUND_TRANSFER,Chennai,IN,DEV_583326,WINDOWS_DESKTOP,True,49.32.20.200,PIN,False,False,319.7,,0,0,,9042.44,False,False,False,False
